,Couches,Quantité de bon tokens détectés,Details,Title,Annotation
0,0,0,,"A partir de quelle couche de smolLM3 le bon token est détecté parmis le top 10 (non cumulatif)<br>avec une probabilité minimum de 0.01, pour 196 pairs de pays / capitale<br>Méthodes de comparaisons : Text = False, Token ids = True, verif second token = True",Proportion de capitales trouvées : 190 / 196 -> Manquantes : [Brazzaville] [Majuro] [Kingstown] [Sri Jayawardenepura Kotte] [Lomé] [Washington D.C.] 
1,1,0,,,
2,2,0,,,
3,3,0,,,
4,4,0,,,
5,5,0,,,
6,6,0,,,
7,7,0,,,
8,8,0,,,
9,9,0,,,
10,10,0,,,
11,11,0,,,
12,12,0,,,
13,13,0,,,
14,14,0,,,
15,15,0,,,
16,16,0,,,
17,17,0,,,
18,18,0,,,
19,19,0,,,
20,20,0,,,
21,21,0,,,
22,22,0,,,
23,23,0,,,
24,24,0,,,
25,25,0,,,
26,26,1,"<br>Kuwait City [K, u] : 0.012 | top 7",,
27,27,4,"<br>Bissau [B, iss] : 0.016 | top 9<br>Lima [L, ima] : 0.012 | top 7<br>Doha [D, oha] : 0.011 | top 5<br>Hanoi [H, anoi] : 0.013 | top 10",,
28,28,1,"<br>Baku [B, aku] : 0.011 | top 7",,
29,29,0,,,
30,30,4,"<br>Tirana [T, ir] : 0.017 | top 4<br>Yerevan [Y, ere] : 0.030 | top 3<br>Accra [Acc, ra] : 0.019 | top 2<br>Vatican City [V, atican] : 0.018 | top 8",,
