,Couches,Quantité de bon tokens détectés,Details,Title,Annotation
0,0,0,,"A partir de quelle couche de smolLM3 le bon token est détecté parmis le top 10 (non cumulatif)<br>avec une probabilité minimum de 0.01, pour 196 pairs de pays / capitale<br>Méthodes de comparaisons : Text = True, Token ids = True, verif second token = False",Proportion de capitales trouvées : 193 / 196 -> Manquantes : [Brazzaville] [Majuro] [Sri Jayawardenepura Kotte] 
1,1,0,,,
2,2,0,,,
3,3,0,,,
4,4,0,,,
5,5,0,,,
6,6,0,,,
7,7,0,,,
8,8,0,,,
9,9,0,,,
10,10,0,,,
11,11,0,,,
12,12,0,,,
13,13,0,,,
14,14,0,,,
15,15,0,,,
16,16,0,,,
17,17,0,,,
18,18,0,,,
19,19,0,,,
20,20,0,,,
21,21,0,,,
22,22,0,,,
23,23,0,,,
24,24,0,,,
25,25,0,,,
26,26,1,<br>Kuwait City [K] : 0.012 | top 7,,
27,27,5,<br>Paris [ Paris] : 0.020 | top 3<br>Bissau [B] : 0.016 | top 9<br>Lima [L] : 0.012 | top 7<br>Doha [D] : 0.011 | top 5<br>Hanoi [H] : 0.013 | top 10,,
28,28,4,<br>Baku [B] : 0.011 | top 7<br>Amsterdam [ amsterdam] : 0.050 | top 1<br>Singapore [ singapore] : 0.010 | top 6<br>London [ London] : 0.011 | top 9,,
29,29,8,<br>Kabul [ Kabul] : 0.024 | top 2<br>Copenhagen [ Copenhagen] : 0.011 | top 5<br>Athens [ Athens] : 0.042 | top 4<br>Kingston [ Kingston] : 0.025 | top 2<br>Nairobi [ Nairobi] : 0.013 | top 2<br>Pyongyang [ Pyongyang] : 0.014 | top 4<br>Moscow [ Moscow] : 0.022 | top 7<br>Stockholm [ Stockholm] : 0.032 | top 2,,
30,30,30,<br>Tirana [T] : 0.017 | top 4<br>Yerevan [Y] : 0.030 | top 3<br>Vienna [ Vienna] : 0.083 | top 2<br>Brussels [ Brussels] : 0.176 | top 1<br>Sofia [ Sofia] : 0.077 | top 1<br>Ottawa [ Ottawa] : 0.020 | top 4<br>Beijing [ Beijing] : 0.023 | top 3<br>Cairo [ Cairo] : 0.019 | top 1<br>Berlin [ Berlin] : 0.053 | top 2<br>Accra [Acc] : 0.019 | top 2<br>Budapest [ Budapest] : 0.024 | top 3<br>Jakarta [ Jakarta] : 0.027 | top 3<br>Tehran [ Tehran] : 0.116 | top 1<br>Baghdad [ Baghdad] : 0.039 | top 2<br>Dublin [ Dublin] : 0.130 | top 1<br>Jerusalem [ Jerusalem] : 0.017 | top 4<br>Rome [ Rome] : 0.040 | top 2<br>Tokyo [ Tokyo] : 0.023 | top 5<br>Beirut [ Beirut] : 0.025 | top 4<br>Oslo [ Oslo] : 0.026 | top 2,,
31,31,14,<br>Algiers [Alg] : 0.017 | top 5<br>Canberra [ Canberra] : 0.040 | top 2<br>Tallinn [T] : 0.011 | top 3<br>Addis Ababa [Add] : 0.044 | top 2<br>Helsinki [ Helsinki] : 0.113 | top 1<br>New Delhi [New] : 0.024 | top 3<br>Tripoli [Trip] : 0.013 | top 5<br>Islamabad [ Islamabad] : 0.080 | top 2<br>Bucharest [B] : 0.015 | top 4<br>Riyadh [ Riyadh] : 0.032 | top 4<br>Belgrade [Bel] : 0.040 | top 2<br>Bratislava [Br] : 0.025 | top 4<br>Ljubljana [L] : 0.030 | top 2<br>Abu Dhabi [Ab] : 0.022 | top 5,,
32,32,12,<br>Buenos Aires [B] : 0.020 | top 7<br>Dhaka [D] : 0.016 | top 4<br>Santiago [ Santiago] : 0.031 | top 4<br>Zagreb [Z] : 0.022 | top 2<br>Prague [Pr] : 0.064 | top 2<br>Antananarivo [Ant] : 0.026 | top 6<br>Valletta [Val] : 0.017 | top 4<br>Managua [Man] : 0.019 | top 7<br>Abuja [Ab] : 0.011 | top 6<br>Panama City [Pan] : 0.013 | top 5<br>Kigali [K] : 0.012 | top 10<br>Caracas [Car] : 0.013 | top 10,,
33,33,11,<br>Sarajevo [S] : 0.056 | top 4<br>Djibouti [D] : 0.023 | top 4<br>Reykjavík [Re] : 0.032 | top 2<br>Bamako [B] : 0.029 | top 3<br>Nouakchott [N] : 0.020 | top 6<br>Ulaanbaatar [U] : 0.069 | top 1<br>Rabat [R] : 0.025 | top 7<br>Dakar [D] : 0.044 | top 4<br>Mogadishu [M] : 0.064 | top 1<br>Ankara [An] : 0.108 | top 3<br>Sana'a [S] : 0.168 | top 1,,
34,34,0,,,
