,Couches,Quantité de bon tokens détectés,Details,Title,Annotation
0,0,0,,"A partir de quelle couche de smolLM3 le bon token est détecté parmis le top 10 (non cumulatif)<br>avec une probabilité minimum de 0.01, pour 196 pairs de pays / capitale<br>Méthodes de comparaisons : Text = False, Token ids = True, verif second token = False",Proportion de capitales trouvées : 193 / 196 -> Manquantes : [Brazzaville] [Majuro] [Sri Jayawardenepura Kotte] 
1,1,0,,,
2,2,0,,,
3,3,0,,,
4,4,0,,,
5,5,0,,,
6,6,0,,,
7,7,0,,,
8,8,0,,,
9,9,0,,,
10,10,0,,,
11,11,0,,,
12,12,0,,,
13,13,0,,,
14,14,0,,,
15,15,0,,,
16,16,0,,,
17,17,0,,,
18,18,0,,,
19,19,0,,,
20,20,0,,,
21,21,0,,,
22,22,0,,,
23,23,0,,,
24,24,0,,,
25,25,0,,,
26,26,1,<br>Kuwait City [K] : 0.012 | top 7,,
27,27,4,<br>Bissau [B] : 0.016 | top 9<br>Lima [L] : 0.012 | top 7<br>Doha [D] : 0.011 | top 5<br>Hanoi [H] : 0.013 | top 10,,
28,28,1,<br>Baku [B] : 0.011 | top 7,,
29,29,0,,,
30,30,4,<br>Tirana [T] : 0.017 | top 4<br>Yerevan [Y] : 0.030 | top 3<br>Accra [Acc] : 0.019 | top 2<br>Vatican City [V] : 0.018 | top 8,,
31,31,16,<br>Kabul [K] : 0.016 | top 3<br>Algiers [Alg] : 0.017 | top 5<br>Vienna [Vi] : 0.062 | top 4<br>Tallinn [T] : 0.011 | top 3<br>Addis Ababa [Add] : 0.044 | top 2<br>Helsinki [H] : 0.015 | top 6<br>Budapest [B] : 0.067 | top 2<br>New Delhi [New] : 0.024 | top 3<br>Tripoli [Trip] : 0.013 | top 5<br>Bucharest [B] : 0.015 | top 4<br>Belgrade [Bel] : 0.040 | top 2<br>Bratislava [Br] : 0.025 | top 4<br>Ljubljana [L] : 0.030 | top 2<br>Stockholm [Stock] : 0.011 | top 6<br>Damascus [Dam] : 0.050 | top 3<br>Abu Dhabi [Ab] : 0.022 | top 5,,
32,32,18,<br>Buenos Aires [B] : 0.020 | top 7<br>Dhaka [D] : 0.016 | top 4<br>Brussels [Br] : 0.042 | top 3<br>Sofia [S] : 0.014 | top 9<br>Ottawa [O] : 0.014 | top 9<br>Beijing [Be] : 0.014 | top 6<br>Zagreb [Z] : 0.022 | top 2<br>Prague [Pr] : 0.064 | top 2<br>Baghdad [Bag] : 0.035 | top 3<br>Tokyo [Tok] : 0.012 | top 3<br>Antananarivo [Ant] : 0.026 | top 6<br>Valletta [Val] : 0.017 | top 4<br>Managua [Man] : 0.019 | top 7<br>Abuja [Ab] : 0.011 | top 6<br>Panama City [Pan] : 0.013 | top 5<br>Lisbon [L] : 0.037 | top 3<br>Kigali [K] : 0.012 | top 10<br>Caracas [Car] : 0.013 | top 10,,
33,33,19,<br>Canberra [Can] : 0.016 | top 6<br>Sarajevo [S] : 0.056 | top 4<br>Copenhagen [C] : 0.028 | top 2<br>Djibouti [D] : 0.023 | top 4<br>Reykjavík [Re] : 0.032 | top 2<br>Tehran [T] : 0.055 | top 3<br>Rome [R] : 0.194 | top 2<br>Nairobi [N] : 0.012 | top 6<br>Bamako [B] : 0.029 | top 3<br>Nouakchott [N] : 0.020 | top 6<br>Ulaanbaatar [U] : 0.069 | top 1<br>Rabat [R] : 0.025 | top 7<br>Amsterdam [Am] : 0.063 | top 3<br>Pyongyang [Py] : 0.021 | top 9<br>Manila [Man] : 0.177 | top 1<br>Dakar [D] : 0.044 | top 4<br>Mogadishu [M] : 0.064 | top 1<br>Ankara [An] : 0.108 | top 3<br>Sana'a [S] : 0.168 | top 1,,
34,34,2,<br>Moscow [Mos] : 0.031 | top 6<br>Madrid [Mad] : 0.117 | top 3,,
35,35,83,<br>Andorra la Vella [And] : 0.057 | top 2<br>Luanda [Lu] : 0.305 | top 1<br>Manama [Man] : 0.863 | top 1<br>Minsk [M] : 0.254 | top 2<br>Porto-Novo [Port] : 0.221 | top 1<br>Thimphu [Th] : 0.957 | top 1<br>Gaborone [G] : 0.248 | top 1<br>Bandar Seri Begawan [Band] : 0.389 | top 1<br>Ouagadougou [O] : 0.871 | top 1<br>Gitega [G] : 0.015 | top 3<br>Praia [P] : 0.019 | top 3<br>Bangui [Bang] : 0.109 | top 2<br>Santiago [S] : 0.805 | top 1<br>Bogotá [B] : 0.578 | top 1<br>Kinshasa [Kin] : 0.637 | top 1<br>Santo Domingo [S] : 0.024 | top 8<br>Quito [Qu] : 0.115 | top 2<br>Cairo [C] : 0.167 | top 2<br>San Salvador [San] : 0.018 | top 7<br>Malabo [Mal] : 0.099 | top 2,,
36,36,45,<br>Saint John's [Saint] : 0.559 | top 1<br>Nassau [N] : 0.996 | top 1<br>Bridgetown [B] : 0.107 | top 3<br>Belmopan [Bel] : 0.200 | top 2<br>Sucre [Su] : 0.014 | top 2<br>Brasília [Br] : 0.287 | top 3<br>Phnom Penh [Ph] : 1.000 | top 1<br>Yaoundé [Ya] : 0.930 | top 1<br>N'Djamena [N] : 0.930 | top 1<br>Moroni [Mor] : 0.941 | top 1<br>San José [San] : 1.000 | top 1<br>Havana [H] : 0.961 | top 1<br>Nicosia [N] : 1.000 | top 1<br>Roseau [Rose] : 0.996 | top 1<br>Paris [Paris] : 1.000 | top 1<br>Berlin [Berlin] : 1.000 | top 1<br>Saint George's [Saint] : 0.075 | top 2<br>Guatemala City [Gu] : 0.992 | top 1<br>Dublin [Dub] : 1.000 | top 1<br>Jerusalem [Jer] : 0.469 | top 2,,
