,Couches,Quantité de bon tokens détectés,Details,Title,Annotation
0,0,0,,"A partir de quelle couche de smolLM3 le bon token est détecté parmis le top 10 (non cumulatif)<br>avec une probabilité minimum de 0.01, pour 196 pairs de pays / capitale<br>Méthodes de comparaisons : Text = True, Token ids = False, verif second token = False",Proportion de capitales trouvées : 48 / 196 -> Manquantes : [Tirana] [Algiers] [Andorra la Vella] [Luanda] [Saint John's] [Buenos Aires] [Yerevan] [Baku] [Nassau] [Manama] [Dhaka] [Bridgetown] [Minsk] [Belmopan] [Porto-Novo] [Thimphu] [Sucre] [Sarajevo] [Gaborone] [Brasília] [Bandar Seri Begawan] [Ouagadougou] [Gitega] [Praia] [Phnom Penh] [Yaoundé] [Bangui] [N'Djamena] [Bogotá] [Moroni] [Brazzaville] [San José] [Zagreb] [Nicosia] [Prague] [Kinshasa] [Djibouti] [Roseau] [Santo Domingo] [Quito] [San Salvador] [Malabo] [Asmara] [Tallinn] [Mbabane] [Addis Ababa] [Suva] [Libreville] [Banjul] [Tbilisi] [Accra] [Saint George's] [Guatemala City] [Conakry] [Bissau] [Port-au-Prince] [Tegucigalpa] [Reykjavík] [New Delhi] [Yamoussoukro] [Amman] [Nur-Sultan] [Tarawa] [Kuwait City] [Bishkek] [Vientiane] [Riga] [Maseru] [Monrovia] [Tripoli] [Vaduz] [Vilnius] [Luxembourg City] [Antananarivo] [Lilongwe] [Kuala Lumpur] [Malé] [Bamako] [Valletta] [Majuro] [Nouakchott] [Port Louis] [Mexico City] [Palikir] [Chișinău] [Ulaanbaatar] [Podgorica] [Rabat] [Maputo] [Naypyidaw] [Windhoek] [Yaren] [Kathmandu] [Wellington] [Managua] [Niamey] [Abuja] [Skopje] [Muscat] [Ngerulmud] [Ramallah] [Panama City] [Port Moresby] [Asunción] [Doha] [Bucharest] [Kigali] [Basseterre] [Castries] [Kingstown] [Apia] [San Marino] [São Tomé] [Dakar] [Belgrade] [Freetown] [Bratislava] [Ljubljana] [Honiara] [Mogadishu] [Cape Town] [Juba] [Sri Jayawardenepura Kotte] [Khartoum] [Paramaribo] [Taipei] [Dushanbe] [Dodoma] [Dili] [Lomé] [Nuku'alofa] [Port of Spain] [Ankara] [Ashgabat] [Funafuti] [Kampala] [Kyiv] [Abu Dhabi] [Washington D.C.] [Montevideo] [Tashkent] [Port Vila] [Vatican City] [Caracas] [Hanoi] [Sana'a] [Lusaka] [Harare] 
1,1,0,,,
2,2,0,,,
3,3,0,,,
4,4,0,,,
5,5,0,,,
6,6,0,,,
7,7,0,,,
8,8,0,,,
9,9,0,,,
10,10,0,,,
11,11,0,,,
12,12,0,,,
13,13,0,,,
14,14,0,,,
15,15,0,,,
16,16,0,,,
17,17,0,,,
18,18,0,,,
19,19,0,,,
20,20,0,,,
21,21,0,,,
22,22,0,,,
23,23,0,,,
24,24,0,,,
25,25,0,,,
26,26,0,,,
27,27,1,<br>Paris [ Paris] : 0.020 | top 3,,
28,28,3,<br>Amsterdam [ amsterdam] : 0.050 | top 1<br>Singapore [ singapore] : 0.010 | top 6<br>London [ London] : 0.011 | top 9,,
29,29,8,<br>Kabul [ Kabul] : 0.024 | top 2<br>Copenhagen [ Copenhagen] : 0.011 | top 5<br>Athens [ Athens] : 0.042 | top 4<br>Kingston [ Kingston] : 0.025 | top 2<br>Nairobi [ Nairobi] : 0.013 | top 2<br>Pyongyang [ Pyongyang] : 0.014 | top 4<br>Moscow [ Moscow] : 0.022 | top 7<br>Stockholm [ Stockholm] : 0.032 | top 2,,
30,30,26,<br>Vienna [ Vienna] : 0.083 | top 2<br>Brussels [ Brussels] : 0.176 | top 1<br>Sofia [ Sofia] : 0.077 | top 1<br>Ottawa [ Ottawa] : 0.020 | top 4<br>Beijing [ Beijing] : 0.023 | top 3<br>Cairo [ Cairo] : 0.019 | top 1<br>Berlin [ Berlin] : 0.053 | top 2<br>Budapest [ Budapest] : 0.024 | top 3<br>Jakarta [ Jakarta] : 0.027 | top 3<br>Tehran [ Tehran] : 0.116 | top 1<br>Baghdad [ Baghdad] : 0.039 | top 2<br>Dublin [ Dublin] : 0.130 | top 1<br>Jerusalem [ Jerusalem] : 0.017 | top 4<br>Rome [ Rome] : 0.040 | top 2<br>Tokyo [ Tokyo] : 0.023 | top 5<br>Beirut [ Beirut] : 0.025 | top 4<br>Oslo [ Oslo] : 0.026 | top 2<br>Manila [ Manila] : 0.034 | top 2<br>Warsaw [ Warsaw] : 0.036 | top 3<br>Lisbon [ Lisbon] : 0.044 | top 3,,
31,31,5,<br>Canberra [ Canberra] : 0.040 | top 2<br>Helsinki [ Helsinki] : 0.113 | top 1<br>Islamabad [ Islamabad] : 0.080 | top 2<br>Lima [ Lima] : 0.040 | top 1<br>Riyadh [ Riyadh] : 0.032 | top 4,,
32,32,1,<br>Santiago [ Santiago] : 0.031 | top 4,,
33,33,0,,,
34,34,0,,,
35,35,3,<br>Georgetown [ Georgetown] : 0.034 | top 3<br>Monaco [ Monaco] : 0.059 | top 3<br>Victoria [Victoria] : 0.065 | top 1,,
36,36,1,<br>Havana [ Havana] : 0.018 | top 2,,
