,Couches,Quantité de bon tokens détectés,Details,Title,Annotation
0,0,0,,"A partir de quelle couche de smolLM3 le bon token est détecté parmis le top 10 (non cumulatif)<br>avec une probabilité minimum de 0.01, pour 196 pairs de pays / capitale<br>Méthodes de comparaisons : Text = True, Token ids = True, verif second token = True",Proportion de capitales trouvées : 190 / 196 -> Manquantes : [Brazzaville] [Majuro] [Kingstown] [Sri Jayawardenepura Kotte] [Lomé] [Washington D.C.] 
1,1,0,,,
2,2,0,,,
3,3,0,,,
4,4,0,,,
5,5,0,,,
6,6,0,,,
7,7,0,,,
8,8,0,,,
9,9,0,,,
10,10,0,,,
11,11,0,,,
12,12,0,,,
13,13,0,,,
14,14,0,,,
15,15,0,,,
16,16,0,,,
17,17,0,,,
18,18,0,,,
19,19,0,,,
20,20,0,,,
21,21,0,,,
22,22,0,,,
23,23,0,,,
24,24,0,,,
25,25,0,,,
26,26,1,"<br>Kuwait City [K, u] : 0.012 | top 7",,
27,27,5,"<br>Paris [ Paris] : 0.020 | top 3<br>Bissau [B, iss] : 0.016 | top 9<br>Lima [L, ima] : 0.012 | top 7<br>Doha [D, oha] : 0.011 | top 5<br>Hanoi [H, anoi] : 0.013 | top 10",,
28,28,4,"<br>Baku [B, aku] : 0.011 | top 7<br>Amsterdam [ amsterdam] : 0.050 | top 1<br>Singapore [ singapore] : 0.010 | top 6<br>London [ London] : 0.011 | top 9",,
29,29,8,<br>Kabul [ Kabul] : 0.024 | top 2<br>Copenhagen [ Copenhagen] : 0.011 | top 5<br>Athens [ Athens] : 0.042 | top 4<br>Kingston [ Kingston] : 0.025 | top 2<br>Nairobi [ Nairobi] : 0.013 | top 2<br>Pyongyang [ Pyongyang] : 0.014 | top 4<br>Moscow [ Moscow] : 0.022 | top 7<br>Stockholm [ Stockholm] : 0.032 | top 2,,
30,30,30,"<br>Tirana [T, ir] : 0.017 | top 4<br>Yerevan [Y, ere] : 0.030 | top 3<br>Vienna [ Vienna] : 0.083 | top 2<br>Brussels [ Brussels] : 0.176 | top 1<br>Sofia [ Sofia] : 0.077 | top 1<br>Ottawa [ Ottawa] : 0.020 | top 4<br>Beijing [ Beijing] : 0.023 | top 3<br>Cairo [ Cairo] : 0.019 | top 1<br>Berlin [ Berlin] : 0.053 | top 2<br>Accra [Acc, ra] : 0.019 | top 2<br>Budapest [ Budapest] : 0.024 | top 3<br>Jakarta [ Jakarta] : 0.027 | top 3<br>Tehran [ Tehran] : 0.116 | top 1<br>Baghdad [ Baghdad] : 0.039 | top 2<br>Dublin [ Dublin] : 0.130 | top 1<br>Jerusalem [ Jerusalem] : 0.017 | top 4<br>Rome [ Rome] : 0.040 | top 2<br>Tokyo [ Tokyo] : 0.023 | top 5<br>Beirut [ Beirut] : 0.025 | top 4<br>Oslo [ Oslo] : 0.026 | top 2",,
31,31,14,"<br>Algiers [Alg, iers] : 0.017 | top 5<br>Canberra [ Canberra] : 0.040 | top 2<br>Tallinn [T, all] : 0.011 | top 3<br>Addis Ababa [Add, is] : 0.044 | top 2<br>Helsinki [ Helsinki] : 0.113 | top 1<br>New Delhi [New,  Delhi] : 0.024 | top 3<br>Tripoli [Trip, oli] : 0.013 | top 5<br>Islamabad [ Islamabad] : 0.080 | top 2<br>Bucharest [B, uch] : 0.015 | top 4<br>Riyadh [ Riyadh] : 0.032 | top 4<br>Belgrade [Bel, grade] : 0.040 | top 2<br>Bratislava [Br, atis] : 0.025 | top 4<br>Ljubljana [L, j] : 0.030 | top 2<br>Abu Dhabi [Ab, u] : 0.022 | top 5",,
32,32,12,"<br>Buenos Aires [B, uen] : 0.020 | top 7<br>Dhaka [D, h] : 0.016 | top 4<br>Santiago [ Santiago] : 0.031 | top 4<br>Zagreb [Z, ag] : 0.022 | top 2<br>Prague [Pr, ague] : 0.064 | top 2<br>Antananarivo [Ant, anan] : 0.026 | top 6<br>Valletta [Val, let] : 0.017 | top 4<br>Managua [Man, agua] : 0.019 | top 7<br>Abuja [Ab, uja] : 0.011 | top 6<br>Panama City [Pan, ama] : 0.013 | top 5<br>Kigali [K, ig] : 0.012 | top 10<br>Caracas [Car, acas] : 0.013 | top 10",,
33,33,11,"<br>Sarajevo [S, ar] : 0.056 | top 4<br>Djibouti [D, j] : 0.023 | top 4<br>Reykjavík [Re, yk] : 0.032 | top 2<br>Bamako [B, am] : 0.029 | top 3<br>Nouakchott [N, ou] : 0.020 | top 6<br>Ulaanbaatar [U, la] : 0.069 | top 1<br>Rabat [R, ab] : 0.025 | top 7<br>Dakar [D, ak] : 0.044 | top 4<br>Mogadishu [M, og] : 0.064 | top 1<br>Ankara [An, kara] : 0.108 | top 3<br>Sana'a [S, ana] : 0.168 | top 1",,
34,34,0,,,
35,35,73,"<br>Andorra la Vella [And, orra] : 0.057 | top 2<br>Luanda [Lu, anda] : 0.305 | top 1<br>Manama [Man, ama] : 0.863 | top 1<br>Minsk [M, insk] : 0.254 | top 2<br>Porto-Novo [Port, o] : 0.221 | top 1<br>Thimphu [Th, im] : 0.957 | top 1<br>Gaborone [G, abor] : 0.248 | top 1<br>Bandar Seri Begawan [Band, ar] : 0.389 | top 1<br>Ouagadougou [O, u] : 0.871 | top 1<br>Gitega [G, ite] : 0.015 | top 3<br>Praia [P, ra] : 0.019 | top 3<br>Bangui [Bang, ui] : 0.109 | top 2<br>Bogotá [B, og] : 0.578 | top 1<br>Kinshasa [Kin, sh] : 0.637 | top 1<br>Santo Domingo [S, anto] : 0.024 | top 8<br>Quito [Qu, ito] : 0.115 | top 2<br>San Salvador [San,  Salvador] : 0.018 | top 7<br>Malabo [Mal, abo] : 0.099 | top 2<br>Asmara [As, m] : 0.855 | top 1<br>Mbabane [M, bab] : 0.555 | top 1",,
36,36,32,"<br>Saint John's [Saint,  John] : 0.559 | top 1<br>Nassau [N, ass] : 0.996 | top 1<br>Bridgetown [B, rid] : 0.107 | top 3<br>Belmopan [Bel, m] : 0.200 | top 2<br>Sucre [Su, cre] : 0.014 | top 2<br>Brasília [Br, as] : 0.287 | top 3<br>Phnom Penh [Ph, nom] : 1.000 | top 1<br>Yaoundé [Ya, ound] : 0.930 | top 1<br>N'Djamena [N, 'D] : 0.930 | top 1<br>Moroni [Mor, oni] : 0.941 | top 1<br>San José [San,  José] : 1.000 | top 1<br>Havana [H, avana] : 0.961 | top 1<br>Nicosia [N, icos] : 1.000 | top 1<br>Roseau [Rose, au] : 0.996 | top 1<br>Saint George's [Saint,  George] : 0.075 | top 2<br>Guatemala City [Gu, atemala] : 0.992 | top 1<br>Nur-Sultan [N, ur] : 0.758 | top 1<br>Vaduz [V, ad] : 0.169 | top 2<br>Luxembourg City [Lux, embourg] : 1.000 | top 1<br>Chișinău [Chi, ș] : 0.527 | top 1",,
